ID;Variante;Etiqueta;Título;Texto de Ambientación;Efecto
L08;A;"ANOCHECER";"NEÓFITOS Y ESCÉPTICOS";"Muchos de nuestros ciudadanos siguieron ciegamente la nueva fe, reuniéndose alrededor de los sacerdotes como ovejas, necesitados de una guía espiritual. Pero muchos no... llevando a múltiples conflictos entre los dos grupos.";"**Si todas tus fichas de Descontento están agotadas:** Puedes agotar todas las fichas de Esperanza de un tipo. Por cada ficha que agotes, aplica el siguiente efecto: Justicia: -1 Descontento. Motivación: Toma 1 Recurso del Mapa y colócalo en el suministro. Cuidado: Gana 4 Comida. **En caso contrario:** Por cada tipo de ficha de Descontento activa, en el siguiente orden, aplica el efecto correspondiente: Codicia: Gasta 2 Recursos. Si no puedes, +1 Descontento. Apatía: Coloca 1 ficha de Trabajador / Ingeniero Agotado en el suministro. Ira: Gana 3 Ciudadanos enfermos."
L08;B;"ANOCHECER";"LLAMAS DE LA NUEVA FE";"La nueva fe arde intensamente en los corazones de nuestros ciudadanos. Al menos en los corazones de aquellos que creen en ella. Esas llamas fervientes abrasan a los no creyentes, a menudo causando miseria y problemas.";"**Si todas tus fichas de Descontento están agotadas:** Puedes agotar todas las fichas de Esperanza de un tipo. Por cada ficha que agotes, aplica el siguiente efecto: Justicia: Toma 1 Recurso del Mapa y colócalo en el suministro. Motivación: Construye un Edificio de coste 1 de Madera gratis. Cuidado: Cura 2 o Trata 1. **En caso contrario:** Por cada tipo de ficha de Descontento activa, en el siguiente orden, aplica el efecto correspondiente: Codicia: Aumenta el Hambre en 4. Apatía: Voltea 1 marcador de Enfermedad. Ira: Agota toda la Esperanza de un tipo."
L09;A;"ANOCHECER";"RENACIMIENTO ÉTICO";"Los ciudadanos creen que se deben mantener los estándares éticos. Especialmente durante tiempos como estos.";"**Si la Casa de Cuidados está construida:** +1 Cuidado o +1 Justicia (elige antes de robar una ficha de Esperanza). **En caso contrario:** -2 Esperanza. Baraja esta carta de nuevo en el mazo de Anochecer."
L09;B;"ANOCHECER";"DONACIONES PARA LOS MÁS POBRES";"Los ciudadanos se sintieron motivados por la introducción de la casa de cuidados y han donado reservas personales de comida a los miembros más necesitados de nuestra sociedad.";"**Si la Casa de Cuidados está construida:** Reduce el Hambre en 3. **En caso contrario:** -2 Esperanza. Baraja esta carta de nuevo en el mazo de Anochecer."
L10;A;"ANOCHECER";"NARICES ROTAS Y COSTILLAS MAGULLADAS";"Algunos ciudadanos de temperamento fuerte expresaron su ira en una pelea total.";"**Si la Arena de Combate está construida:** *La pelea tuvo lugar dentro de la arena y fue motivo de entretenimiento para la audiencia.* Agota Ira. -1 Descontento. Coloca 1 ficha de Trabajador Agotado en el suministro. **En caso contrario:** *La pelea tuvo lugar en una de las calles principales y fue motivo de miedo y preocupación para muchos ciudadanos, especialmente ancianos y niños.* +2 Descontento. Baraja esta carta de nuevo en el mazo de Anochecer."
L10;B;"ANOCHECER";"JUEGOS DE SANGRE";"Se decía que muchas revueltas en la antigua Roma se evitaban gracias a la sangre derramada en el Coliseo.";"**Si la Arena de Combate está construida:** *Aquellos que lo presenciaron de primera mano dicen que fue hipnotizante, casi hermoso en su naturaleza primitiva. Un luchador murió para diversión de la multitud. Estará en boca de toda la comunidad durante días.* 1 Trabajador muere. No robes una carta de Ciudadano por esta muerte. Luego, elige uno: A) Agota todo el Descontento de un tipo. B) -2 Descontento. **En caso contrario:** *La falta de lucha organizada está causando malestar y decepción entre nuestros ciudadanos. ¡La multitud quiere ver sangre!* +2 Descontento. Baraja esta carta de nuevo en el mazo de Anochecer."
L11;A;"ANOCHECER";"TRABAJAR DURO Y JUGAR DURO";"La charla sobre una taberna resultó en que algunos de nuestros ciudadanos más jóvenes se involucraran en borracheras acompañadas de lo que muchos ciudadanos mayores describen como ""comportamiento indecente"".";"**Si la Taberna está construida:** Elige uno: A) Descarta 1 ficha de Esperanza y 1 ficha de Descontento. B) +1 Descontento y +1 Esperanza. **En caso contrario:** -2 Esperanza. Baraja esta carta de nuevo en el mazo de Anochecer."
L11;B;"ANOCHECER";"LA PARTE DEL ÁNGEL";"El Sr. Grant, uno de nuestros ciudadanos, proviene de un largo linaje de destiladores; su trabajo era valorado y buscado en todo el país. Si tan solo tuviera un lugar para abrir una tienda y distribuir los frutos de su trabajo.";"**Si la Taberna está construida:** Con las instalaciones en su lugar, el Sr. Grant es capaz de levantar el ánimo de nuestros ciudadanos. Muchos de ellos están satisfechos de que este aspecto particular del viejo mundo haya vuelto a la vida. Activa Justicia. +1 Esperanza. Coloca 1 ficha de Trabajador Agotado en el suministro. **En caso contrario:** Los ciudadanos están genuinamente decepcionados de que el talento y la herencia de un artesano tan hábil se desperdicien debido a la falta de instalaciones adecuadas. -2 Esperanza. Baraja esta carta de nuevo en el mazo de Anochecer."
L12;A;"ANOCHECER";"LA HISTORIA DE UNA SONRISA";"La Hermana Beatrice entró en la tienda médica con una sonrisa en su rostro. Siempre lo hacía. Después de todo, los pacientes no necesitaban compartir sus cargas; ellos eran los que esperaban ayuda. La razón de hoy para la sonrisa de Beatrice estaba un poco más justificada que de costumbre. Sabía que venían raciones de comida extra. Muchos pacientes sufrían en parte por desnutrición, y Beatrice esperaba volver a verlos fuera de la tienda médica.";"Aumenta el Hambre en 3. Cura 2."
L12;B;"ANOCHECER";"EL ALMA DE NUESTRA SOCIEDAD";"Recordaré el día de hoy el resto de mi vida. El comienzo del día no mostraba signos de emoción, pero cuando me dirigía a una reunión del consejo para informar sobre la situación médica en nuestra ciudad, me detuvieron. Alguien tiró de mi abrigo; un niño pequeño, tal vez de 7 u 8 años, con las mejillas rojas y la nariz moqueando, me miró directamente a los ojos. Dijo: ""Salvaste a mi mamá. Ella dice que está con nosotros gracias a la buena comida que recibió de los médicos. La gente dice que ayudaste a aprobar la ley"". El niño entonces me dio el abrazo más conmovedor que jamás haya experimentado.";"+1 Esperanza. Activa todas las fichas de Cuidado."
L13;A;"ANOCHECER";"MENTE DESCANSADA, CUERPO SANO";"Aquel que tiene salud, tiene esperanza; y aquel que tiene esperanza, lo tiene todo. - Thomas Carlyle";"Cura 1. Luego, por cada ficha de Ciudadano Agotado en el suministro, otro Cura 1."
L13;B;"ANOCHECER";"UN DÍA DE APRECIO";"La gente vio la sabiduría de tu decisión de darles un respiro; de simplemente dejarles descansar y recuperar fuerzas. Pagaron tu amabilidad de la mejor manera que pudieron, quitando parte de la carga de tus hombros. Distribuyeron el trabajo para compensar su tiempo libre y corrieron la voz para asegurar que todos se enteraran de tus acciones justas.";"+1 Justicia. Luego, elige uno: A) Elimina 1 ficha de Ciudadano Agotado no ocupada. B) Reutiliza un Trabajador."
L14;A;"ANOCHECER";"¿PRESIÓN U OPRESIÓN?";"Se dice que todos tienen límites. Parece que mucha gente de nuestra ciudad ha alcanzado el suyo. Un grupo de ciudadanos entró a la fuerza en la cocina y robó raciones de comida extra. Dicen que hacen el trabajo más duro y las jornadas más largas. Si la ciudad no los alimenta lo suficiente, se alimentarán ellos mismos.";"+1 Apatía. Aumenta el Hambre en 6."
L14;B;"ANOCHECER";"¡HUELGA!";"La gente está harta de hacer trabajo extra sin beneficios ni descanso. ¡Han organizado una huelga y exigen una designación más justa de las asignaciones de trabajo!";"**Si tienes Ira activa:** +1 Descontento. **A menos que agotes Justicia:** Coloca 1 ficha de Trabajador / Ingeniero Agotado en el suministro."
L15;A;"ANOCHECER";"ELEVADOS SOBRE LOS DEMÁS";"La elevación de un grupo de hombres y mujeres por encima del resto, dándoles el título de Consejo Público, ha enfadado a mucha gente. Algunas voces dicen abiertamente que no hay lugar para las viejas costumbres en el nuevo mundo. Sin embargo, algunos lo ven como el orden natural de las cosas y esperan con esperanza ser gobernados.";"**Si todas las fichas de Descontento están activas:** +1 Descontento. Baraja esta carta de nuevo en el mazo de Anochecer. **En caso contrario:** +1 Justicia. Activa todo el Descontento del tipo más común (si hay empate, elige uno de los tipos empatados)."
L15;B;"ANOCHECER";"EL FUERTE GRITO DE LA SOCIEDAD";"La gente está furiosa porque algunos miembros del consejo han abusado del poder que se les otorgó. La estructura del Consejo Público solo recordó a la gente lo que estaba mal con el sistema anterior en el que funcionaban.";"**Si tienes Justicia activa:** +1 Descontento. **En caso contrario:** +2 Descontento. Activa Justicia."
L16;A;"ANOCHECER";"UNA VELA EN EL VIENTO";"Nuestra gente está débil porque nuestras decisiones les hacen pasar hambre. Sus cuerpos son vulnerables al clima despiadado y muchos sucumben a la enfermedad.";"Gana Ciudadanos enfermos dependiendo de la posición del marcador de Frío y el marcador de Calor, como en la Fase del Generador. No puedes alimentar el Generador de antemano."
L16;B;"ANOCHECER";"LA SUPERVIVENCIA DEL MÁS APTO";"La escasez de comida resultó en la formación de pandillas en la ciudad; los fuertes toman de los débiles. Nuestros ciudadanos han cedido a sus instintos primarios; si no se hace nada para lidiar con esta crisis, nos enfrentamos a la caída de la sociedad.";"Coloca esta carta sobre la carta de Ley de Raciones de Inanición. Ignora la carta de Ley de Raciones de Inanición mientras esta carta la esté cubriendo. **FASE DE CLIMA:** Por cada Codicia activa, aumenta el Hambre en 2. Coloca esta carta en la pila de descartes de Anochecer."
L17;A;"ANOCHECER";"LÍMITES HUMANOS";"Nuestra gente está tan agotada con los turnos extendidos que ya no pueden trabajar más. Algunos se han desmayado; otros simplemente se niegan a levantarse de sus camas. Fueron llevados al agotamiento... por nuestras decisiones.";"**Si tienes Apatía activa:** Coloca 2 fichas de Trabajador / Ingeniero Agotado en el suministro. **En caso contrario:** Coloca 1 ficha de Trabajador / Ingeniero Agotado en el suministro."
L17;B;"ANOCHECER";"EL NACIMIENTO DE LA DESCONFIANZA";"¿Estos turnos cambian algo siquiera, o estamos siendo usados? Trabajando hasta los huesos, no tenemos tiempo ni fuerza para alzar nuestras voces en objeción. Si pudiéramos parar... si tan solo pudiéramos parar.";"+1 Apatía. Agota toda la Motivación."
L18;A;"ANOCHECER";"EL CONOCIMIENTO ES PODER";"El intercambio de conocimiento llevó a la aparición de equipos de trabajadores altamente especializados. A partir de ahora, pueden llevar a cabo trabajos anteriormente disponibles solo para ingenieros altamente cualificados.";"Coloca esta carta sobre la carta de Ley de Conocimiento Compartido. Ignora la carta de Ley de Conocimiento Compartido mientras esta carta la esté cubriendo. **FASE DE ACCIÓN:** Puedes usar Meeples de Trabajador para usar Edificios de Taller y el Edificio del Generador. Siempre que uses un Meeple de Ingeniero para realizar la acción de Construir, puedes usar 2 sub-acciones de Construir para mejorar un Edificio pagando su coste de mejora."
L18;B;"ANOCHECER";"IGUALDAD SOCIAL";"Nuestra gente siente armonía en la forma en que funciona nuestra sociedad. Las divisiones sociales anteriormente presentes ahora se han olvidado, y nuestros esfuerzos conjuntos benefician a todos.";"Elige uno: A) Mejora un Edificio Pequeño gratis, incluso si ese Edificio ha sido usado en esta Ronda. B) Activa 1 Esperanza."
L19;A;"ANOCHECER";"ABANDONAD TODA ESPERANZA LOS QUE ENTRÁIS AQUÍ";"Priorizar a los pacientes tiene un alto precio. Sin embargo, debemos continuar este trabajo espantoso ya que no hay otra manera de asegurar nuestra supervivencia.";"**Si hay 1 o más marcadores de Enfermedad por su lado de Calavera:** Voltea 1 marcador de Enfermedad de su lado de Calavera a su lado de Jeringa. **En caso contrario:** Gana 3 Ciudadanos enfermos de cualquier tipo."
L19;B;"ANOCHECER";"MOMENTOS TRAUMÁTICOS";"Tanta muerte. Tantas caras que nunca volverán a hablar. Los médicos son solo humanos, y sus límites han sido superados. Su dedicación y sacrificio ahora cobran un alto precio.";"+1 Apatía. Gana 2 Ingenieros enfermos. **Adicionalmente, si tienes Cuidado activo:** Gana 2 Ingenieros enfermos."
L20;A;"ANOCHECER";"LA FUERZA EN LA UNIDAD";"¿Somos una sociedad unida? ¿Todavía hay esperanza para nosotros?";"**Si tienes 3 o más fichas de Descontento activas:** Hay discordia entre nosotros. +1 Descontento. **En caso contrario:** Somos una sociedad armoniosa. Elige uno: A) Agota 1 Descontento. B) Agota una Esperanza activa y aplica el siguiente efecto, dependiendo del tipo de Esperanza agotada: Justicia: Elimina hasta 4 cubos de Estrés del track de Estrés. Motivación: Reutiliza un Trabajador. Cuidado: Cura 2 y Trata 1. Puedes intercambiar la ficha de Esperanza en la carta de Ley ""La Virtud de la Humanidad"" (L20) con una ficha activa en el track de Esperanza."
L20;B;"ANOCHECER";"UNIDOS PERMANECEMOS";"Nosotros, el pueblo, tenemos el poder de hacer esta vida libre y hermosa. ¡Usemos ese poder! ¡Unámonos todos!","**Si tienes 3 o más fichas de Descontento activas:** +1 Descontento. **En caso contrario:** Aplica el efecto de abajo, basado en el tipo de ficha de Esperanza en la carta de Ley ""La Virtud de la Humanidad"" (L20): Justicia: Puedes elegir 1 carta de Anochecer de la pila de descartes de Anochecer. Por cada Justicia activa, puedes elegir otra. Baraja las cartas elegidas en el mazo de Anochecer. Motivación: Toma 1 Recurso del Mapa y colócalo en el suministro. Por cada Motivación activa, puedes tomar otro y colocarlo en el suministro. Cuidado: Reduce el Hambre en 2. Luego, por cada Cuidado activo, reduce el Hambre en otros 2. Puedes intercambiar la ficha de Esperanza en la carta de Ley ""La Virtud de la Humanidad"" (L20) con una ficha activa en el track de Esperanza."
